,Email No.,the,to,ect,and,for,of,a,you,hou
3896,Email 3897,19,21,2,12,7,11,143,14,1
3897,Email 3898,2,1,1,1,0,0,11,0,0
3898,Email 3899,12,20,1,8,2,7,119,8,0
3899,Email 3900,14,22,2,16,13,5,174,25,3
3900,Email 3901,2,1,1,1,0,0,11,0,0
3901,Email 3902,1,3,2,0,2,0,15,0,0
3902,Email 3903,0,0,1,0,1,0,3,0,0
3903,Email 3904,1,3,2,0,2,0,15,0,0
3904,Email 3905,0,0,1,0,1,0,3,0,0
3905,Email 3906,4,5,5,1,3,2,44,0,2
3906,Email 3907,21,19,23,6,3,2,168,3,15
3907,Email 3908,5,6,13,0,2,0,47,1,7
3908,Email 3909,12,11,17,5,2,2,130,1,13
3909,Email 3910,0,0,1,1,1,0,9,0,0
3910,Email 3911,4,5,5,1,3,2,44,0,2
3911,Email 3912,0,3,1,0,0,1,10,0,0
3912,Email 3913,2,11,4,3,0,19,84,4,0
3913,Email 3914,21,19,23,6,3,2,168,3,15
3914,Email 3915,3,2,2,2,1,2,25,7,0
3915,Email 3916,5,6,13,0,2,0,47,1,7
3916,Email 3917,12,11,17,5,2,2,130,1,13
3917,Email 3918,3,3,1,3,2,0,18,1,0
3918,Email 3919,5,4,1,2,0,1,39,0,1
3919,Email 3920,4,1,2,1,0,0,21,0,1
3920,Email 3921,4,4,2,1,2,8,41,5,2
3921,Email 3922,3,3,1,3,2,0,18,1,0
3922,Email 3923,15,18,3,12,6,23,209,28,3
3923,Email 3924,5,4,1,2,0,1,39,0,1
3924,Email 3925,4,9,2,4,2,2,43,2,0
3925,Email 3926,2,0,1,2,1,1,24,1,1
3926,Email 3927,4,9,2,4,2,2,43,2,0
3927,Email 3928,12,37,8,8,11,37,189,3,0
3928,Email 3929,2,0,1,2,1,1,24,1,1
3929,Email 3930,1,0,1,0,1,0,1,0,0
3930,Email 3931,5,7,2,0,0,2,27,2,0
3931,Email 3932,0,0,1,0,0,0,1,1,0
3932,Email 3933,1,1,1,0,1,0,2,0,0
3933,Email 3934,4,20,2,9,3,5,318,1,1
3934,Email 3935,0,1,1,0,0,0,2,1,0
3935,Email 3936,1,1,2,0,0,0,28,2,0
3936,Email 3937,1,3,2,0,2,0,14,0,0
3937,Email 3938,10,6,2,7,3,2,67,8,1
3938,Email 3939,0,0,1,0,1,0,3,0,0
3939,Email 3940,1,3,2,0,2,0,14,0,0
3940,Email 3941,1,1,1,1,0,1,22,1,0
3941,Email 3942,0,0,1,0,1,0,3,0,0
3942,Email 3943,3,0,1,2,1,1,17,1,0
3943,Email 3944,28,30,9,24,11,17,249,5,2
3944,Email 3945,3,0,1,2,1,1,17,1,0
3945,Email 3946,4,1,2,1,0,0,21,0,1
3946,Email 3947,5,8,2,4,3,5,48,14,0
3947,Email 3948,3,0,1,1,1,2,33,1,0
3948,Email 3949,103,57,23,43,32,66,533,7,10
3949,Email 3950,7,4,2,0,1,3,25,3,3
3950,Email 3951,3,2,1,1,1,1,17,0,0
3951,Email 3952,3,2,1,1,1,1,17,0,0
3952,Email 3953,1,2,1,0,0,1,14,1,0
3953,Email 3954,16,11,1,11,1,8,94,6,3
3954,Email 3955,7,4,2,0,1,3,25,3,3
3955,Email 3956,0,1,1,0,0,0,2,0,0
3956,Email 3957,13,31,3,2,3,0,114,2,0
3957,Email 3958,0,0,1,0,0,0,1,0,0
3958,Email 3959,37,29,6,23,19,28,249,3,3
3959,Email 3960,0,4,2,0,3,1,36,1,0
3960,Email 3961,13,30,3,2,3,0,113,2,0
3961,Email 3962,2,3,2,2,0,2,36,1,0
3962,Email 3963,0,0,1,0,0,1,22,1,0
3963,Email 3964,3,0,1,2,2,0,23,1,1
3964,Email 3965,42,19,1,8,7,7,214,1,3
3965,Email 3966,60,51,19,39,26,50,487,3,2
3966,Email 3967,0,0,1,0,1,0,3,0,0
3967,Email 3968,1,57,2,0,3,3,414,2,0
3968,Email 3969,1,3,2,0,2,0,15,0,0
3969,Email 3970,2,2,1,2,1,0,44,0,0
3970,Email 3971,3,0,1,2,2,0,23,1,1
3971,Email 3972,0,0,1,0,1,0,3,0,0
3972,Email 3973,37,36,7,27,13,26,326,1,2
3973,Email 3974,1,3,2,0,2,0,15,0,0
3974,Email 3975,1,0,1,0,0,0,4,0,0
3975,Email 3976,1,2,2,0,0,0,6,0,0
3976,Email 3977,1,0,2,0,1,0,5,0,0
3977,Email 3978,9,2,4,3,1,3,49,1,0
3978,Email 3979,1,3,1,2,1,0,14,1,0
3979,Email 3980,1,0,1,0,0,0,4,0,0
3980,Email 3981,1,2,2,0,0,0,6,0,0
3981,Email 3982,1,1,1,0,0,0,51,0,0
3982,Email 3983,0,1,1,1,1,1,8,0,0
3983,Email 3984,1,0,2,0,1,0,5,0,0
3984,Email 3985,2,2,1,0,2,5,12,1,0
3985,Email 3986,9,2,4,3,1,3,49,1,0
3986,Email 3987,7,9,2,5,3,5,58,17,0
3987,Email 3988,0,0,1,0,0,0,5,2,0
3988,Email 3989,3,0,1,1,1,2,33,1,0
3989,Email 3990,30,26,3,8,6,22,132,4,0
3990,Email 3991,4,1,4,4,2,0,26,2,2
3991,Email 3992,6,3,15,2,7,1,67,4,6
3992,Email 3993,18,8,1,5,3,1,81,0,1
3993,Email 3994,0,2,1,1,0,1,14,0,0
3994,Email 3995,18,8,1,5,3,1,81,0,1
3995,Email 3996,6,3,15,2,7,1,67,4,6
3996,Email 3997,4,1,4,4,2,0,26,2,2
3997,Email 3998,2,1,1,1,1,0,9,0,0
3998,Email 3999,11,4,1,6,1,3,75,3,3
3999,Email 4000,2,1,1,1,1,0,9,0,0
4000,Email 4001,0,2,2,0,0,1,40,1,0
4001,Email 4002,11,4,1,6,1,3,75,3,3
4002,Email 4003,0,5,2,0,2,0,18,0,0
4003,Email 4004,0,0,1,0,0,0,22,0,0
4004,Email 4005,0,0,1,0,1,0,3,0,0
4005,Email 4006,0,5,2,0,2,0,18,0,0
4006,Email 4007,0,0,1,0,1,0,3,0,0
4007,Email 4008,1,3,1,0,1,0,26,0,1
4008,Email 4009,2,0,1,0,0,1,7,2,0
4009,Email 4010,1,3,1,0,1,0,26,0,1
4010,Email 4011,4,0,1,0,5,0,22,0,0
4011,Email 4012,6,4,4,1,3,1,55,1,1
4012,Email 4013,0,1,2,1,0,0,17,0,1
4013,Email 4014,2,0,1,2,1,1,18,3,1
4014,Email 4015,4,0,1,0,5,0,22,0,0
4015,Email 4016,0,0,1,0,0,0,7,1,0
4016,Email 4017,6,4,4,1,3,1,55,1,1
4017,Email 4018,10,9,6,4,3,2,78,14,2
4018,Email 4019,7,5,9,6,5,0,60,4,3
4019,Email 4020,7,5,9,6,5,0,60,4,3
4020,Email 4021,2,0,3,1,0,0,7,0,0
4021,Email 4022,0,2,2,0,0,0,9,0,0
4022,Email 4023,0,2,2,0,0,0,9,0,0
4023,Email 4024,0,0,1,0,1,0,3,0,0
4024,Email 4025,3,8,2,0,5,0,31,0,0
4025,Email 4026,1,5,1,0,2,1,49,3,2
4026,Email 4027,0,0,1,0,1,0,3,0,0
4027,Email 4028,3,8,2,0,5,0,31,0,0
4028,Email 4029,2,0,1,0,0,0,11,1,0
4029,Email 4030,7,3,1,3,8,3,23,4,0
4030,Email 4031,1,1,1,1,2,2,20,0,0
4031,Email 4032,2,0,1,0,0,0,11,1,0
4032,Email 4033,4,0,1,1,0,1,14,3,0
4033,Email 4034,3,3,2,1,0,0,17,2,0
4034,Email 4035,0,0,1,0,0,0,4,1,0
4035,Email 4036,11,17,1,6,4,7,85,20,0
4036,Email 4037,11,17,1,6,4,7,85,20,0
4037,Email 4038,1,2,3,0,1,0,30,0,1
4038,Email 4039,2,6,1,6,1,1,63,4,0
4039,Email 4040,0,1,2,1,0,0,17,0,1
4040,Email 4041,2,2,1,2,2,2,42,9,2
4041,Email 4042,0,0,1,0,0,2,3,0,0
4042,Email 4043,1,2,3,0,1,0,30,0,1
4043,Email 4044,1,0,1,0,0,0,4,1,0
4044,Email 4045,13,12,15,8,7,5,115,5,7
4045,Email 4046,0,0,1,1,0,0,7,0,0
4046,Email 4047,0,1,1,2,0,0,17,0,0
4047,Email 4048,4,6,4,3,3,2,29,9,1
4048,Email 4049,0,1,1,2,0,0,17,0,0
4049,Email 4050,13,12,15,8,7,5,115,5,7
4050,Email 4051,85,43,25,56,23,38,491,4,5
4051,Email 4052,5,6,1,4,4,1,27,2,0
4052,Email 4053,6,10,7,3,1,1,65,0,4
4053,Email 4054,6,10,7,3,1,1,65,0,4
4054,Email 4055,1,2,1,0,3,1,18,3,0
4055,Email 4056,4,3,4,1,0,1,23,0,0
4056,Email 4057,0,0,1,0,0,0,0,0,0
4057,Email 4058,9,18,2,4,9,2,66,13,0
4058,Email 4059,9,18,2,4,9,2,66,13,0
4059,Email 4060,1,1,2,0,0,0,16,0,0
4060,Email 4061,0,0,1,0,0,0,2,1,0
4061,Email 4062,1,1,2,0,0,0,16,0,0
4062,Email 4063,0,0,1,0,1,0,3,0,0
4063,Email 4064,0,0,1,0,1,0,3,0,0
4064,Email 4065,0,2,1,1,2,0,44,1,0
4065,Email 4066,1,1,1,0,1,0,4,0,0
4066,Email 4067,5,2,1,1,6,0,38,5,0
4067,Email 4068,9,11,4,1,5,2,35,1,2
4068,Email 4069,2,1,4,0,0,0,6,0,0
4069,Email 4070,16,8,8,4,3,1,39,2,3
4070,Email 4071,2,1,3,0,1,2,13,1,0
4071,Email 4072,1,1,1,0,1,0,4,0,0
4072,Email 4073,9,11,4,1,5,2,35,1,2
4073,Email 4074,2,1,4,0,0,0,6,0,0
4074,Email 4075,16,8,8,4,3,1,39,2,3
4075,Email 4076,2,1,3,0,1,2,13,1,0
4076,Email 4077,0,0,1,1,0,1,24,0,0
4077,Email 4078,93,52,25,38,30,69,538,7,5
4078,Email 4079,3,2,2,0,1,0,27,0,1
4079,Email 4080,0,2,2,0,0,0,8,0,0
4080,Email 4081,0,2,1,0,1,0,23,0,0
4081,Email 4082,10,4,1,2,2,0,43,2,1
4082,Email 4083,0,4,1,3,0,1,44,1,0
4083,Email 4084,10,4,1,2,2,0,43,2,1
4084,Email 4085,0,2,1,0,1,0,23,0,0
4085,Email 4086,5,11,4,4,7,1,46,3,1
4086,Email 4087,17,8,9,23,0,9,114,0,8
4087,Email 4088,5,11,4,4,7,1,46,3,1
4088,Email 4089,0,3,2,0,2,0,13,0,0
4089,Email 4090,2,1,1,0,3,0,11,1,0
4090,Email 4091,13,9,1,1,2,5,31,2,0
4091,Email 4092,0,0,1,0,1,0,3,0,0
4092,Email 4093,1,0,2,1,2,2,13,0,0
4093,Email 4094,0,3,2,0,2,0,13,0,0
4094,Email 4095,2,1,1,0,3,0,11,1,0
4095,Email 4096,5,6,1,4,4,1,27,2,0
4096,Email 4097,98,62,32,43,30,59,524,10,4
4097,Email 4098,0,0,1,0,1,0,3,0,0
4098,Email 4099,0,0,1,0,0,0,5,2,0
4099,Email 4100,5,4,3,0,3,0,32,0,1
4100,Email 4101,65,64,20,39,25,56,493,13,4
4101,Email 4102,1,1,1,1,0,0,8,0,0
4102,Email 4103,5,4,3,0,3,0,32,0,1
4103,Email 4104,0,0,1,0,0,0,5,0,0
4104,Email 4105,3,0,1,2,2,0,19,0,0
4105,Email 4106,3,2,2,0,1,0,27,0,1
4106,Email 4107,1,2,2,0,1,0,24,1,1
4107,Email 4108,3,0,1,2,2,0,19,0,0
4108,Email 4109,0,1,3,0,4,0,17,1,0
4109,Email 4110,5,3,2,4,1,3,65,4,0
4110,Email 4111,4,2,1,3,2,3,41,4,0
4111,Email 4112,0,1,3,0,4,0,17,1,0
4112,Email 4113,0,0,1,0,0,0,4,1,0
4113,Email 4114,1,0,1,0,1,0,7,0,0
4114,Email 4115,3,7,1,5,1,2,44,8,0
4115,Email 4116,1,0,1,0,1,0,7,0,0
4116,Email 4117,8,11,2,2,2,0,88,9,1
4117,Email 4118,8,10,2,2,2,0,87,9,1
4118,Email 4119,11,13,1,1,5,5,101,7,2
4119,Email 4120,13,15,6,11,13,5,148,8,1
4120,Email 4121,3,2,1,0,2,0,22,7,0
4121,Email 4122,0,0,1,1,1,0,8,0,0
4122,Email 4123,0,4,2,3,1,1,24,2,1
4123,Email 4124,3,4,1,3,4,4,34,6,0
4124,Email 4125,1,3,2,0,2,0,15,0,0
4125,Email 4126,0,0,1,1,1,0,8,0,0
4126,Email 4127,15,22,3,14,6,14,162,27,4
4127,Email 4128,73,52,23,30,26,55,422,7,3
4128,Email 4129,1,3,2,0,2,0,15,0,0
4129,Email 4130,1,0,1,1,1,1,16,0,0
4130,Email 4131,1,0,1,1,1,1,16,0,0
4131,Email 4132,3,4,2,1,1,1,13,3,0
4132,Email 4133,8,4,1,0,3,0,20,1,2
4133,Email 4134,8,4,1,0,3,0,20,1,2
4134,Email 4135,39,28,12,38,11,27,326,6,1
4135,Email 4136,0,1,1,1,0,0,6,0,0
4136,Email 4137,37,32,14,28,19,34,332,7,1
4137,Email 4138,1,2,2,0,1,0,24,1,1
4138,Email 4139,1,0,1,1,2,0,11,0,0
4139,Email 4140,0,1,1,1,0,0,6,0,0
4140,Email 4141,1,0,1,1,2,0,11,0,0
4141,Email 4142,0,1,1,0,0,0,3,0,0
4142,Email 4143,3,2,1,0,2,0,22,7,0
4143,Email 4144,6,6,1,6,3,2,93,7,1
4144,Email 4145,1,2,1,2,1,1,12,2,0
4145,Email 4146,1,1,1,1,1,1,9,2,0
4146,Email 4147,2,1,1,0,2,0,14,1,0
4147,Email 4148,0,0,1,0,1,0,3,0,0
4148,Email 4149,2,1,1,0,2,0,14,1,0
4149,Email 4150,0,0,1,0,1,0,3,0,0
4150,Email 4151,9,3,8,5,1,2,53,0,5
4151,Email 4152,1,0,1,0,0,0,2,2,0
4152,Email 4153,9,3,8,5,1,2,53,0,5
4153,Email 4154,0,5,2,0,2,0,55,0,0
4154,Email 4155,0,5,2,0,2,0,55,0,0
4155,Email 4156,1,1,1,1,0,0,6,0,0
4156,Email 4157,1,1,1,1,0,0,6,0,0
4157,Email 4158,5,3,1,2,4,0,23,0,1
4158,Email 4159,5,6,5,3,5,0,40,2,2
4159,Email 4160,5,3,1,2,4,0,23,0,1
4160,Email 4161,1,0,1,0,0,0,2,0,0
4161,Email 4162,5,6,5,3,5,0,40,2,2
4162,Email 4163,8,12,3,1,1,4,87,3,3
4163,Email 4164,8,11,3,1,1,4,86,3,3
4164,Email 4165,0,0,1,0,1,0,3,0,0
4165,Email 4166,1,0,1,0,0,0,1,1,0
4166,Email 4167,0,0,1,0,1,0,3,0,0
4167,Email 4168,11,5,10,4,3,1,77,0,7
4168,Email 4169,1,1,1,0,0,0,11,0,0
4169,Email 4170,11,5,10,4,3,1,77,0,7
4170,Email 4171,1,1,1,0,0,0,11,0,0
4171,Email 4172,0,3,1,3,3,2,32,5,0
4172,Email 4173,5,5,8,0,6,0,36,0,4
4173,Email 4174,3,3,1,0,1,0,19,0,1
4174,Email 4175,1,2,2,2,2,0,29,2,0
4175,Email 4176,3,3,1,0,1,0,19,0,1
4176,Email 4177,5,5,8,0,6,0,36,0,4
4177,Email 4178,0,1,1,0,0,0,1,0,0
4178,Email 4179,0,0,1,0,0,0,0,0,0
4179,Email 4180,1,3,2,0,3,0,17,0,0
4180,Email 4181,1,3,2,0,3,0,17,0,0
4181,Email 4182,3,5,2,0,6,2,32,1,0
4182,Email 4183,0,0,1,0,1,0,3,0,0
4183,Email 4184,3,5,2,0,6,2,32,1,0
4184,Email 4185,0,0,1,0,1,0,3,0,0
4185,Email 4186,1,2,1,1,1,0,12,1,0
4186,Email 4187,19,15,4,10,3,0,59,1,0
4187,Email 4188,1,0,1,0,0,0,6,1,0
4188,Email 4189,0,0,1,0,0,0,5,0,0
4189,Email 4190,2,4,1,1,1,2,23,3,0
4190,Email 4191,0,1,1,0,1,0,11,1,0
4191,Email 4192,0,1,1,0,1,0,11,1,0
4192,Email 4193,0,2,1,0,1,0,17,0,0
4193,Email 4194,0,0,1,0,0,0,5,0,0
4194,Email 4195,19,15,4,10,3,0,59,1,0
4195,Email 4196,1,3,1,1,1,2,35,1,2
4196,Email 4197,0,0,1,0,0,1,1,0,0
4197,Email 4198,7,0,3,1,1,3,33,9,0
4198,Email 4199,0,3,2,0,2,0,16,0,0
4199,Email 4200,0,0,1,0,1,0,3,0,0
4200,Email 4201,105,64,29,40,31,66,592,7,5
4201,Email 4202,0,3,2,0,2,0,16,0,0
4202,Email 4203,0,0,1,0,1,0,3,0,0
4203,Email 4204,1,7,1,2,2,4,29,6,1
4204,Email 4205,29,16,20,5,4,6,116,1,13
4205,Email 4206,29,16,20,5,4,6,116,1,13
4206,Email 4207,0,0,1,0,0,0,4,1,0
4207,Email 4208,1,8,1,7,2,2,54,4,0
4208,Email 4209,3,1,1,0,0,1,10,0,0
4209,Email 4210,3,1,1,0,0,1,10,0,0
4210,Email 4211,0,1,2,0,0,0,7,0,0
4211,Email 4212,23,14,2,11,5,5,150,9,6
4212,Email 4213,23,14,2,11,5,5,150,9,6
4213,Email 4214,4,4,2,1,0,4,31,1,1
4214,Email 4215,4,4,2,1,0,4,31,1,1
4215,Email 4216,1,1,1,0,2,0,11,1,0
4216,Email 4217,0,0,1,0,1,0,3,0,0
4217,Email 4218,0,1,3,0,1,0,9,0,1
4218,Email 4219,1,1,1,0,2,0,11,1,0
4219,Email 4220,0,0,1,0,1,0,3,0,0
4220,Email 4221,62,44,25,25,23,37,371,11,2
4221,Email 4222,4,12,4,1,5,2,67,14,0
4222,Email 4223,0,1,1,1,0,0,5,0,0
4223,Email 4224,3,3,1,1,3,1,21,9,0
4224,Email 4225,105,63,29,40,31,66,593,7,5
4225,Email 4226,1,3,1,0,1,2,16,0,0
4226,Email 4227,23,11,1,8,5,3,90,4,3
4227,Email 4228,0,1,1,1,0,0,5,0,0
4228,Email 4229,28,21,4,16,15,5,217,13,3
4229,Email 4230,0,2,2,0,0,0,7,0,0
4230,Email 4231,4,2,1,2,1,0,24,0,2
4231,Email 4232,7,3,3,3,1,1,27,2,0
4232,Email 4233,5,3,1,4,4,1,23,1,1
4233,Email 4234,3,1,2,2,0,0,16,1,0
4234,Email 4235,7,3,3,3,1,1,27,2,0
4235,Email 4236,0,0,1,0,1,0,3,0,0
4236,Email 4237,0,0,1,0,1,0,3,0,0
4237,Email 4238,0,0,1,0,0,0,4,1,0
4238,Email 4239,0,0,1,0,0,0,5,1,0
4239,Email 4240,6,2,2,0,0,0,11,0,0
4240,Email 4241,1,0,1,0,0,0,6,0,0
4241,Email 4242,0,0,1,0,0,0,6,1,0
4242,Email 4243,48,33,11,29,17,23,277,5,2
4243,Email 4244,6,2,2,0,0,0,11,0,0
4244,Email 4245,1,0,1,0,0,0,6,0,0
4245,Email 4246,2,12,4,0,5,1,61,13,0
4246,Email 4247,2,12,4,0,5,1,61,13,0
4247,Email 4248,8,6,2,7,7,2,104,4,0
4248,Email 4249,0,0,1,0,0,0,8,0,0
4249,Email 4250,6,6,3,2,4,1,59,0,0
4250,Email 4251,8,6,2,7,7,2,104,4,0
4251,Email 4252,13,8,1,1,2,5,33,2,0
4252,Email 4253,0,1,2,0,0,0,14,0,1
4253,Email 4254,0,0,1,0,0,0,5,1,0
4254,Email 4255,3,9,14,2,1,2,55,2,6
4255,Email 4256,2,5,1,1,0,1,31,2,1
4256,Email 4257,7,12,1,5,6,3,67,0,0
4257,Email 4258,2,4,1,0,3,0,16,0,0
4258,Email 4259,0,0,1,0,0,0,0,0,0
4259,Email 4260,1,3,2,0,0,1,31,0,0
4260,Email 4261,0,0,1,0,1,0,3,0,0
4261,Email 4262,0,0,1,0,0,0,6,0,0
4262,Email 4263,0,5,2,0,4,0,18,0,2
4263,Email 4264,9,11,3,3,2,2,48,0,0
4264,Email 4265,0,1,2,0,0,0,14,0,1
4265,Email 4266,15,5,4,14,10,22,106,8,0
4266,Email 4267,7,11,1,1,1,2,39,11,0
4267,Email 4268,18,11,5,8,2,3,109,2,0
4268,Email 4269,0,0,1,0,1,0,3,0,0
4269,Email 4270,0,2,2,3,0,0,13,0,0
4270,Email 4271,0,3,2,0,2,0,16,0,0
4271,Email 4272,5,3,3,1,1,0,45,1,1
4272,Email 4273,1,0,1,1,1,0,12,1,0
4273,Email 4274,4,1,2,1,1,2,26,1,0
4274,Email 4275,0,0,1,0,0,0,0,0,0
4275,Email 4276,1,3,2,0,2,0,21,3,1
4276,Email 4277,31,26,2,15,7,37,233,4,6
4277,Email 4278,0,0,1,0,1,0,3,0,0
4278,Email 4279,2,1,2,0,0,0,25,0,1
4279,Email 4280,0,4,1,2,0,0,12,2,0
4280,Email 4281,0,2,1,0,0,0,6,3,0
4281,Email 4282,19,8,9,1,8,3,70,2,5
4282,Email 4283,1,1,1,0,0,2,19,0,0
4283,Email 4284,10,12,5,6,9,5,135,7,2
4284,Email 4285,12,5,6,0,4,2,45,1,3
4285,Email 4286,2,3,1,0,1,1,19,3,0
4286,Email 4287,5,3,2,0,1,1,26,0,1
4287,Email 4288,3,6,1,2,2,0,55,0,0
4288,Email 4289,0,4,1,0,0,2,83,1,0
4289,Email 4290,0,0,1,0,1,0,3,0,0
4290,Email 4291,10,10,1,7,6,0,55,2,0
4291,Email 4292,1,1,1,0,0,1,17,1,0
4292,Email 4293,0,1,2,0,0,0,14,0,1
4293,Email 4294,2,1,1,0,2,0,22,2,1
4294,Email 4295,57,24,28,21,22,5,212,4,15
4295,Email 4296,21,9,15,3,8,3,88,2,8
4296,Email 4297,8,16,7,6,1,0,97,1,1
4297,Email 4298,1,0,1,1,1,0,3,0,1
4298,Email 4299,3,11,3,3,4,2,41,2,1
4299,Email 4300,1,1,1,1,0,0,7,0,1
4300,Email 4301,0,0,1,0,1,0,3,0,0
4301,Email 4302,0,3,2,0,2,0,16,0,0
4302,Email 4303,7,12,25,7,2,2,148,1,14
4303,Email 4304,3,2,1,2,0,3,22,4,0
4304,Email 4305,1,2,4,0,0,0,18,1,1
4305,Email 4306,31,24,13,22,5,22,195,6,2
4306,Email 4307,1,2,1,2,1,0,14,1,0
4307,Email 4308,1,3,1,2,3,2,28,4,0
4308,Email 4309,0,0,1,0,1,0,3,0,0
4309,Email 4310,0,3,2,0,2,0,16,0,0
4310,Email 4311,2,1,2,0,0,0,10,0,0
4311,Email 4312,1,3,1,0,0,0,9,0,0
4312,Email 4313,19,15,4,14,9,6,185,4,0
4313,Email 4314,16,16,5,12,7,13,156,4,1
4314,Email 4315,1,1,2,0,0,0,20,0,1
4315,Email 4316,2,3,1,2,1,0,27,0,0
4316,Email 4317,1,1,1,0,0,0,3,0,0
4317,Email 4318,13,11,27,0,3,4,93,2,13
4318,Email 4319,13,9,14,0,2,3,73,2,7
4319,Email 4320,2,1,1,4,3,2,20,2,0
4320,Email 4321,13,7,3,3,2,1,37,2,1
4321,Email 4322,0,0,1,0,0,0,0,0,0
4322,Email 4323,1,2,1,2,0,0,29,0,0
4323,Email 4324,28,17,7,5,4,12,158,6,2
4324,Email 4325,0,0,1,1,1,0,5,0,0
4325,Email 4326,1,0,1,0,1,0,7,0,0
4326,Email 4327,0,0,1,0,1,0,3,0,0
4327,Email 4328,1,0,1,0,0,0,5,1,0
4328,Email 4329,11,6,21,7,2,1,128,0,15
4329,Email 4330,10,6,20,8,1,1,129,0,14
4330,Email 4331,0,1,1,0,1,0,7,0,0
4331,Email 4332,4,3,1,1,0,0,15,1,0
4332,Email 4333,2,0,1,1,0,0,4,0,0
4333,Email 4334,0,3,3,2,3,3,42,1,1
4334,Email 4335,1,4,2,2,0,0,56,0,0
4335,Email 4336,0,1,1,0,0,1,3,1,0
4336,Email 4337,40,27,2,33,5,18,242,9,3
4337,Email 4338,0,0,1,0,1,0,3,0,0
4338,Email 4339,2,3,5,3,4,5,35,3,0
4339,Email 4340,47,32,11,29,17,22,280,5,2
4340,Email 4341,3,11,4,1,7,3,50,0,3
4341,Email 4342,0,0,1,1,0,0,7,1,0
4342,Email 4343,0,0,1,0,0,0,5,0,0
4343,Email 4344,31,24,2,15,7,36,230,4,6
4344,Email 4345,7,6,5,3,4,3,63,1,0
4345,Email 4346,0,0,1,0,0,0,7,0,0
4346,Email 4347,0,5,2,0,2,0,19,0,2
4347,Email 4348,0,6,2,0,2,0,20,0,3
4348,Email 4349,0,0,1,0,1,0,3,0,0
4349,Email 4350,0,0,1,0,0,0,8,0,0
4350,Email 4351,4,2,1,0,0,1,10,0,0
4351,Email 4352,21,12,8,7,7,6,133,3,11
4352,Email 4353,0,0,2,0,0,0,2,0,0
4353,Email 4354,5,1,5,2,4,1,33,0,3
4354,Email 4355,4,2,1,1,2,2,22,3,0
4355,Email 4356,26,31,2,13,12,23,222,1,0
4356,Email 4357,3,0,1,0,3,0,21,1,0
4357,Email 4358,0,0,1,0,2,0,8,0,0
4358,Email 4359,4,4,1,3,2,2,41,10,0
4359,Email 4360,25,6,7,7,6,2,97,2,2
4360,Email 4361,0,0,1,0,1,0,3,0,0
4361,Email 4362,3,0,1,2,2,0,23,1,1
4362,Email 4363,3,2,1,4,2,1,33,1,0
4363,Email 4364,0,3,2,0,2,0,15,0,0
4364,Email 4365,9,5,1,6,2,0,64,0,4
4365,Email 4366,31,25,13,22,5,22,194,6,2
4366,Email 4367,17,9,7,7,2,2,102,1,8
4367,Email 4368,18,11,16,7,5,3,126,1,14
4368,Email 4369,11,6,15,5,2,1,92,0,9
4369,Email 4370,1,7,2,4,2,0,58,1,1
4370,Email 4371,0,1,2,0,0,0,14,0,1
4371,Email 4372,7,7,4,1,4,4,42,1,2
4372,Email 4373,1,1,1,2,0,0,24,3,0
4373,Email 4374,10,6,4,2,2,2,34,3,2
4374,Email 4375,9,7,1,3,6,3,49,5,2
4375,Email 4376,2,0,3,1,0,0,7,0,0
4376,Email 4377,80,65,20,43,28,50,486,8,5
4377,Email 4378,0,0,1,0,1,0,3,0,0
4378,Email 4379,1,1,1,1,0,1,26,1,0
4379,Email 4380,49,51,24,35,25,40,407,4,1
4380,Email 4381,6,2,1,0,1,1,31,0,0
4381,Email 4382,1,2,1,3,4,3,39,0,1
4382,Email 4383,4,1,1,1,0,0,27,0,0
4383,Email 4384,6,2,1,0,1,3,16,7,0
4384,Email 4385,4,0,3,2,0,3,16,1,0
4385,Email 4386,5,2,51,5,4,0,125,1,24
4386,Email 4387,5,7,1,4,4,3,76,3,0
4387,Email 4388,0,1,2,1,0,0,17,0,1
4388,Email 4389,10,11,5,6,10,15,106,7,1
4389,Email 4390,2,4,1,0,4,1,20,1,1
4390,Email 4391,27,8,10,9,7,3,125,2,3
4391,Email 4392,14,22,5,19,5,6,157,4,0
4392,Email 4393,27,9,9,7,6,3,122,3,4
4393,Email 4394,1,1,1,0,2,0,32,4,0
4394,Email 4395,27,9,10,7,7,3,139,4,4
4395,Email 4396,5,2,9,1,1,1,27,1,3
4396,Email 4397,32,11,11,8,9,4,156,4,5
4397,Email 4398,3,6,1,5,0,0,45,2,0
4398,Email 4399,0,0,1,0,1,0,3,0,0
4399,Email 4400,20,11,22,8,7,3,161,2,12
4400,Email 4401,0,2,2,0,0,0,6,0,0
4401,Email 4402,24,15,33,9,9,4,210,2,18
4402,Email 4403,32,33,4,25,13,20,242,17,3
4403,Email 4404,22,14,26,8,7,4,188,2,14
4404,Email 4405,5,5,1,3,0,1,33,3,0
4405,Email 4406,6,5,4,6,12,5,75,7,1
4406,Email 4407,9,2,1,3,2,0,20,0,0
4407,Email 4408,2,1,4,0,1,2,20,0,0
4408,Email 4409,7,14,6,1,11,1,80,4,1
4409,Email 4410,4,0,1,0,5,0,28,0,0
4410,Email 4411,0,0,1,0,0,0,10,0,0
4411,Email 4412,87,85,17,45,45,55,527,17,4
4412,Email 4413,1,0,1,2,0,0,27,1,0
